id,orig_street,orig_suburb,orig_state,orig_postcode,orig_country,dest_street,dest_suburb,dest_state,dest_postcode,dest_country,mode,transit_mode,transit_routing_preference,avoid,year,month,day,hour,minute,time_zone,traffic_model,orig_output,dest_output,duration (minutes),distance (km),average_speed (km/hr)
210,,MANGO HILL,QLD,4509,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mango Hill QLD 4509, Australia","Brisbane City QLD 4000, Australia",37.15,32.421,52.362314939434725
211,,MANLY,QLD,4179,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Manly QLD 4179, Australia","Brisbane City QLD 4000, Australia",32.56666666666667,26.57,48.95189355168884
212,,MANLY WEST,QLD,4179,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Manly West QLD 4179, Australia","Brisbane City QLD 4000, Australia",30.866666666666667,17.775,34.55183585313174
213,,MANSFIELD,QLD,4122,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mansfield QLD 4122, Australia","Brisbane City QLD 4000, Australia",20.566666666666666,14.033,40.93905996758509
214,,MANSFIELD BC,QLD,4122,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"52 Dividend St, Mansfield QLD 4122, Australia","Brisbane City QLD 4000, Australia",21.133333333333333,14.246,40.44605678233439
215,,MARGATE,QLD,4019,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Margate QLD 4019, Australia","Brisbane City QLD 4000, Australia",38.233333333333334,39.573,62.1023539668701
216,,MARGATE BEACH,QLD,4019,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Margate Beach, Brisbane QLD, Australia","Brisbane City QLD 4000, Australia",38.583333333333336,39.849,61.968207343412516
217,,MARSDEN,QLD,4132,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Marsden QLD 4132, Australia","Brisbane City QLD 4000, Australia",32.15,32.248,60.18289269051322
218,,MCDOWALL,QLD,4053,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"McDowall QLD 4053, Australia","Brisbane City QLD 4000, Australia",22.933333333333334,12.972,33.938372093023254
219,,MEADOWBROOK,QLD,4131,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Meadowbrook QLD 4131, Australia","Brisbane City QLD 4000, Australia",23.566666666666666,27.49,69.98868458274399
220,,MELDALE,QLD,4510,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Meldale QLD 4510, Australia","Brisbane City QLD 4000, Australia",56.36666666666667,63.525,67.61975162625666
221,,MIDDLE PARK,QLD,4074,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Middle Park QLD 4074, Australia","Brisbane City QLD 4000, Australia",27.683333333333334,20.993,45.49957856712823
222,,MILTON,QLD,4064,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Milton QLD 4064, Australia","Brisbane City QLD 4000, Australia",9.05,3.013,19.975690607734805
223,,MITCHELTON,QLD,4053,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mitchelton QLD 4053, Australia","Brisbane City QLD 4000, Australia",19.116666666666667,10.063,31.583958151700088
224,,MOGGILL,QLD,4070,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Moggill QLD 4070, Australia","Brisbane City QLD 4000, Australia",38.416666666666664,28.878,45.10229934924079
225,,MOORINA,QLD,4506,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Moorina QLD 4506, Australia","Brisbane City QLD 4000, Australia",55.95,56.0,60.05361930294906
226,,MOOROOKA,QLD,4105,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Moorooka QLD 4105, Australia","Brisbane City QLD 4000, Australia",14.133333333333333,11.104,47.13962264150943
227,,MORAYFIELD,QLD,4506,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Morayfield QLD 4506, Australia","Brisbane City QLD 4000, Australia",49.833333333333336,48.387,58.25859531772575
228,,MORNINGSIDE,QLD,4170,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Morningside QLD 4170, Australia","Brisbane City QLD 4000, Australia",19.366666666666667,8.776,27.188984509466437
229,,MOUNT ARCHER,QLD,4514,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Archer QLD 4514, Australia","Brisbane City QLD 4000, Australia",78.33333333333333,90.143,69.04570212765957
230,,MOUNT COOT-THA,QLD,4066,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Coot-Tha QLD 4066, Australia","Brisbane City QLD 4000, Australia",21.95,11.992,32.77995444191344
231,,MOUNT COTTON,QLD,4165,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Cotton QLD 4165, Australia","Brisbane City QLD 4000, Australia",37.0,33.874,54.93081081081081
232,,MOUNT GRAVATT,QLD,4122,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Gravatt QLD 4122, Australia","Brisbane City QLD 4000, Australia",13.833333333333334,10.138,43.972048192771084
233,,MOUNT GRAVATT EAST,QLD,4122,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Gravatt East QLD 4122, Australia","Brisbane City QLD 4000, Australia",16.1,12.014,44.77267080745341
234,,MOUNT MEE,QLD,4521,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Mee QLD 4521, Australia","Brisbane City QLD 4000, Australia",69.8,75.891,65.23581661891117
235,,MOUNT OMMANEY,QLD,4074,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Ommaney QLD 4074, Australia","Brisbane City QLD 4000, Australia",22.383333333333333,17.103,45.8457185405808
236,,MOUNT PLEASANT,QLD,4521,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Pleasant QLD 4521, Australia","Brisbane City QLD 4000, Australia",55.266666666666666,50.735,55.08021712907117
237,,MOUNT WARREN PARK,QLD,4207,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Warren Park QLD 4207, Australia","Brisbane City QLD 4000, Australia",27.9,36.537,78.5741935483871
238,,MT GRAVATT,QLD,4122,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Gravatt QLD 4122, Australia","Brisbane City QLD 4000, Australia",13.833333333333334,10.138,43.972048192771084
239,,MT MEE,QLD,4521,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Mee QLD 4521, Australia","Brisbane City QLD 4000, Australia",69.8,75.891,65.23581661891117
240,,MT OMMANEY,QLD,4074,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Mount Ommaney QLD 4074, Australia","Brisbane City QLD 4000, Australia",22.383333333333333,17.103,45.8457185405808
241,,MUNRUBEN,QLD,4125,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Munruben QLD 4125, Australia","Brisbane City QLD 4000, Australia",36.68333333333333,41.82,68.40163562017266
242,,MURARRIE,QLD,4172,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Murarrie QLD 4172, Australia","Brisbane City QLD 4000, Australia",19.566666666666666,14.698,45.070528109028956
243,,MURRUMBA DOWNS,QLD,4503,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Murrumba Downs QLD 4503, Australia","Brisbane City QLD 4000, Australia",32.68333333333333,28.062,51.5161652218256
244,,NARANGBA,QLD,4504,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Narangba QLD 4504, Australia","Brisbane City QLD 4000, Australia",40.95,38.071,55.78168498168498
245,,NATHAN,QLD,4111,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Nathan QLD 4111, Australia","Brisbane City QLD 4000, Australia",15.033333333333333,12.899,51.48159645232816
246,,NEW BEITH,QLD,4124,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"New Beith QLD 4124, Australia","Brisbane City QLD 4000, Australia",40.21666666666667,43.795,65.33858267716535
247,,NEW FARM,QLD,4005,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"New Farm QLD 4005, Australia","Brisbane City QLD 4000, Australia",12.016666666666667,3.648,18.214701803051316
248,,NEWMARKET,QLD,4051,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Newmarket QLD 4051, Australia","Brisbane City QLD 4000, Australia",12.083333333333334,5.739,28.497103448275862
249,,NEWSTEAD,QLD,4006,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Newstead QLD 4006, Australia","Brisbane City QLD 4000, Australia",13.766666666666667,3.657,15.938498789346246
250,,NINGI,QLD,4511,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Ningi QLD 4511, Australia","Brisbane City QLD 4000, Australia",54.8,59.905,65.58941605839416
251,,NORMAN PARK,QLD,4170,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Norman Park QLD 4170, Australia","Brisbane City QLD 4000, Australia",12.333333333333334,6.312,30.707027027027024
252,,NORTH LAKES,QLD,4509,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"North Lakes QLD 4509, Australia","Brisbane City QLD 4000, Australia",35.56666666666667,31.058,52.394001874414236
253,,NORTH STRADBROKE ISLAND,QLD,4183,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"North Stradbroke Island, Queensland 4183, Australia","Brisbane City QLD 4000, Australia",184.53333333333333,93.883,30.52554190751445
254,,NORTHGATE,QLD,4013,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Northgate QLD 4013, Australia","Brisbane City QLD 4000, Australia",19.183333333333334,15.334,47.96038227628149
255,,NUDGEE,QLD,4014,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Nudgee QLD 4014, Australia","Brisbane City QLD 4000, Australia",23.216666666666665,20.966,54.18348887293612
256,,NUDGEE BEACH,QLD,4014,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Nudgee Beach QLD 4014, Australia","Brisbane City QLD 4000, Australia",21.916666666666668,21.041,57.602737642585545
257,,NUNDAH,QLD,4012,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Nundah QLD 4012, Australia","Brisbane City QLD 4000, Australia",16.3,12.939,47.62822085889571
258,,ORMISTON,QLD,4160,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Ormiston QLD 4160, Australia","Brisbane City QLD 4000, Australia",37.2,28.568,46.07741935483871
259,,OXLEY,QLD,4075,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Oxley QLD 4075, Australia","Brisbane City QLD 4000, Australia",21.066666666666666,15.452,44.00886075949367
260,,PADDINGTON,QLD,4064,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Paddington QLD 4064, Australia","Brisbane City QLD 4000, Australia",10.833333333333334,4.195,23.233846153846155
261,,PALLARA,QLD,4110,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Pallara QLD 4110, Australia","Brisbane City QLD 4000, Australia",30.933333333333334,22.507,43.65581896551725
262,,PARK RIDGE,QLD,4125,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Park Ridge QLD 4125, Australia","Brisbane City QLD 4000, Australia",33.63333333333333,33.573,59.89236868186323
263,,PARK RIDGE SOUTH,QLD,4125,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Park Ridge South QLD 4125, Australia","Brisbane City QLD 4000, Australia",34.6,39.116,67.83121387283236
264,,PARKINSON,QLD,4115,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Parkinson QLD 4115, Australia","Brisbane City QLD 4000, Australia",26.133333333333333,28.216,64.78163265306124
265,,PEACHESTER,QLD,4519,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Peachester QLD 4519, Australia","Brisbane City QLD 4000, Australia",75.08333333333333,83.955,67.08945615982242
id,orig_street,orig_suburb,orig_state,orig_postcode,orig_country,dest_street,dest_suburb,dest_state,dest_postcode,dest_country,mode,transit_mode,transit_routing_preference,avoid,year,month,day,hour,minute,time_zone,traffic_model,orig_output,dest_output,duration (minutes),distance (km),average_speed (km/hr)
267,,PETRIE,QLD,4502,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Petrie QLD 4502, Australia","Brisbane City QLD 4000, Australia",39.38333333333333,29.304,44.644265763859494
268,,PETRIE TERRACE,QLD,4000,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Petrie Terrace QLD 4000, Australia","Brisbane City QLD 4000, Australia",7.533333333333333,2.532,20.166371681415928
269,,PINJARRA HILLS,QLD,4069,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Pinjarra Hills QLD 4069, Australia","Brisbane City QLD 4000, Australia",29.2,20.815,42.770547945205486
270,,PINKENBA,QLD,4008,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Pinkenba QLD 4008, Australia","Brisbane City QLD 4000, Australia",22.766666666666666,14.819,39.054465592972186
271,,POINT LOOKOUT,QLD,4183,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Point Lookout QLD 4183, Australia","Brisbane City QLD 4000, Australia",163.43333333333334,78.111,28.67627982867632
272,,PORT OF BRISBANE,QLD,4178,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Port of Brisbane QLD 4178, Australia","Brisbane City QLD 4000, Australia",31.583333333333332,27.619,52.46881266490765
273,,PRIESTDALE,QLD,4127,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Priestdale QLD 4127, Australia","Brisbane City QLD 4000, Australia",25.75,24.223,56.44194174757282
274,,PULLENVALE,QLD,4069,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Pullenvale QLD 4069, Australia","Brisbane City QLD 4000, Australia",29.95,21.484,43.039732888146915
275,,RANSOME,QLD,4154,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Ransome QLD 4154, Australia","Brisbane City QLD 4000, Australia",30.033333333333335,23.083,46.11476137624861
276,,RED HILL,QLD,4059,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Red Hill QLD 4059, Australia","Brisbane City QLD 4000, Australia",10.483333333333333,4.018,22.99650238473768
277,,REDCLIFFE,QLD,4020,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Redcliffe QLD 4020, Australia","Brisbane City QLD 4000, Australia",40.85,41.416,60.83133414932679
278,,REDCLIFFE NORTH,QLD,4020,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Redcliffe QLD 4020, Australia","Brisbane City QLD 4000, Australia",40.85,41.416,60.83133414932679
279,,REDLAND BAY,QLD,4165,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Redland Bay QLD 4165, Australia","Brisbane City QLD 4000, Australia",40.06666666666667,44.696,66.93244592346089
280,,REGENTS PARK,QLD,4118,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Regents Park QLD 4118, Australia","Brisbane City QLD 4000, Australia",30.083333333333332,30.604,61.0384487534626
281,,RICHLANDS,QLD,4077,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Richlands QLD 4077, Australia","Brisbane City QLD 4000, Australia",24.7,19.267,46.80242914979757
282,,RIVERHILLS,QLD,4074,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Riverhills QLD 4074, Australia","Brisbane City QLD 4000, Australia",28.033333333333335,23.506,50.31010701545778
283,,ROBERTSON,QLD,4109,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Robertson QLD 4109, Australia","Brisbane City QLD 4000, Australia",14.6,13.243,54.423287671232885
284,,ROCHEDALE,QLD,4123,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Rochedale QLD 4123, Australia","Brisbane City QLD 4000, Australia",21.233333333333334,19.755,55.8226059654631
285,,ROCHEDALE SOUTH,QLD,4123,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Rochedale South QLD 4123, Australia","Brisbane City QLD 4000, Australia",22.933333333333334,19.951,52.19738372093023
286,,ROCKLEA,QLD,4106,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Rocklea QLD 4106, Australia","Brisbane City QLD 4000, Australia",18.35,13.448,43.9716621253406
id,orig_street,orig_suburb,orig_state,orig_postcode,orig_country,dest_street,dest_suburb,dest_state,dest_postcode,dest_country,mode,transit_mode,transit_routing_preference,avoid,year,month,day,hour,minute,time_zone,traffic_model,orig_output,dest_output,duration (minutes),distance (km),average_speed (km/hr)
267,,PETRIE,QLD,4502,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Petrie QLD 4502, Australia","Brisbane City QLD 4000, Australia",39.38333333333333,29.304,44.644265763859494
268,,PETRIE TERRACE,QLD,4000,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Petrie Terrace QLD 4000, Australia","Brisbane City QLD 4000, Australia",7.533333333333333,2.532,20.166371681415928
269,,PINJARRA HILLS,QLD,4069,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Pinjarra Hills QLD 4069, Australia","Brisbane City QLD 4000, Australia",29.2,20.815,42.770547945205486
270,,PINKENBA,QLD,4008,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Pinkenba QLD 4008, Australia","Brisbane City QLD 4000, Australia",22.766666666666666,14.819,39.054465592972186
271,,POINT LOOKOUT,QLD,4183,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Point Lookout QLD 4183, Australia","Brisbane City QLD 4000, Australia",163.43333333333334,78.111,28.67627982867632
272,,PORT OF BRISBANE,QLD,4178,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Port of Brisbane QLD 4178, Australia","Brisbane City QLD 4000, Australia",31.583333333333332,27.619,52.46881266490765
273,,PRIESTDALE,QLD,4127,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Priestdale QLD 4127, Australia","Brisbane City QLD 4000, Australia",25.75,24.223,56.44194174757282
274,,PULLENVALE,QLD,4069,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Pullenvale QLD 4069, Australia","Brisbane City QLD 4000, Australia",29.95,21.484,43.039732888146915
275,,RANSOME,QLD,4154,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Ransome QLD 4154, Australia","Brisbane City QLD 4000, Australia",30.033333333333335,23.083,46.11476137624861
276,,RED HILL,QLD,4059,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Red Hill QLD 4059, Australia","Brisbane City QLD 4000, Australia",10.483333333333333,4.018,22.99650238473768
277,,REDCLIFFE,QLD,4020,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Redcliffe QLD 4020, Australia","Brisbane City QLD 4000, Australia",40.85,41.416,60.83133414932679
278,,REDCLIFFE NORTH,QLD,4020,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Redcliffe QLD 4020, Australia","Brisbane City QLD 4000, Australia",40.85,41.416,60.83133414932679
279,,REDLAND BAY,QLD,4165,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Redland Bay QLD 4165, Australia","Brisbane City QLD 4000, Australia",40.06666666666667,44.696,66.93244592346089
280,,REGENTS PARK,QLD,4118,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Regents Park QLD 4118, Australia","Brisbane City QLD 4000, Australia",30.083333333333332,30.604,61.0384487534626
281,,RICHLANDS,QLD,4077,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Richlands QLD 4077, Australia","Brisbane City QLD 4000, Australia",24.7,19.267,46.80242914979757
282,,RIVERHILLS,QLD,4074,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Riverhills QLD 4074, Australia","Brisbane City QLD 4000, Australia",28.033333333333335,23.506,50.31010701545778
283,,ROBERTSON,QLD,4109,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Robertson QLD 4109, Australia","Brisbane City QLD 4000, Australia",14.6,13.243,54.423287671232885
284,,ROCHEDALE,QLD,4123,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Rochedale QLD 4123, Australia","Brisbane City QLD 4000, Australia",21.233333333333334,19.755,55.8226059654631
285,,ROCHEDALE SOUTH,QLD,4123,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Rochedale South QLD 4123, Australia","Brisbane City QLD 4000, Australia",22.933333333333334,19.951,52.19738372093023
286,,ROCKLEA,QLD,4106,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Rocklea QLD 4106, Australia","Brisbane City QLD 4000, Australia",18.35,13.448,43.9716621253406
288,,ROCKSBERG,QLD,4510,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Rocksberg QLD 4510, Australia","Brisbane City QLD 4000, Australia",64.55,62.787,58.36127033307514
289,,ROTHWELL,QLD,4022,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Rothwell QLD 4022, Australia","Brisbane City QLD 4000, Australia",40.18333333333333,34.569,51.61692243882207
290,,ROYAL BRISBANE HOSPITAL,QLD,4029,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Butterfield St, Herston QLD 4029, Australia","Brisbane City QLD 4000, Australia",13.433333333333334,3.653,16.316129032258065
291,,RUNCORN,QLD,4113,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Runcorn QLD 4113, Australia","Brisbane City QLD 4000, Australia",20.05,17.894,53.54812967581047
292,,RUSH CREEK,QLD,4521,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Rush Creek QLD 4521, Australia","Brisbane City QLD 4000, Australia",50.333333333333336,38.209,45.547152317880794
293,,RUSSELL ISLAND,QLD,4184,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Russell Island QLD 4184, Australia","Brisbane City QLD 4000, Australia",91.23333333333333,59.785,39.31786627694556
294,,SALISBURY,QLD,4107,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Salisbury QLD 4107, Australia","Brisbane City QLD 4000, Australia",13.916666666666666,11.387,49.09365269461078
295,,SALISBURY EAST,QLD,4107,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Salisbury QLD 4107, Australia","Brisbane City QLD 4000, Australia",15.3,12.119,47.52549019607843
296,,SAMFORD,QLD,4520,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Samford Valley QLD 4520, Australia","Brisbane City QLD 4000, Australia",34.516666666666666,23.636,41.08623853211009
297,,SAMFORD VALLEY,QLD,4520,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Samford Valley QLD 4520, Australia","Brisbane City QLD 4000, Australia",34.516666666666666,23.636,41.08623853211009
298,,SAMFORD VILLAGE,QLD,4520,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Samford Village QLD 4520, Australia","Brisbane City QLD 4000, Australia",31.766666666666666,21.638,40.86925498426024
299,,SAMSONVALE,QLD,4520,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Samsonvale QLD 4520, Australia","Brisbane City QLD 4000, Australia",54.21666666666667,45.333,50.168705810021514
300,,SANDGATE,QLD,4017,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Sandgate QLD 4017, Australia","Brisbane City QLD 4000, Australia",31.233333333333334,23.407,44.96542155816436
301,,SANDSTONE POINT,QLD,4511,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Sandstone Point QLD 4511, Australia","Brisbane City QLD 4000, Australia",60.666666666666664,66.699,65.96604395604396
302,,SCARBOROUGH,QLD,4020,Australia,,Brisbane CBD,QLD,4000,Australia,driving,,,,2017,2,22,7,0,0,best_guess,"Scarborough QLD 4020, Australia","Brisbane City QLD 4000, Australia",43.8,44.061,60.35753424657534
